user_id,user_type,device_type,os,timestamp,login_time_hour,typing_speed,keystroke_interval,mouse_speed,session_duration,actions_per_min,ip_change,label
user_000,admin,desktop,Android,2026-07-21 19:22:31.489052,19,6.5,0.069,819.6,98.7,80,0,1
user_000,admin,desktop,Windows,2026-07-21 19:22:31.489231,19,15.78,0.006,0.0,20.0,287,0,1
user_000,admin,mobile,Windows,2026-07-21 19:22:31.489260,19,2.29,0.126,211.3,799.5,43,0,0
user_000,admin,desktop,Windows,2026-07-21 19:22:31.489346,19,16.06,0.008,0.0,28.5,220,0,1
user_000,admin,desktop,iOS,2026-07-21 19:22:31.489369,19,3.22,0.08,204.6,328.0,29,0,0
user_000,admin,laptop,Windows,2026-07-21 19:22:31.489391,19,3.95,0.096,218.1,529.5,38,0,0
user_000,admin,laptop,Android,2026-07-21 19:22:31.489410,19,3.97,0.113,372.0,402.3,26,0,0
user_000,admin,laptop,Windows,2026-07-21 19:22:31.489432,19,15.33,0.019,0.0,26.9,259,0,1
user_000,admin,laptop,Android,2026-07-21 19:22:31.489452,19,2.77,0.081,246.2,710.0,34,1,0
user_000,admin,desktop,iOS,2026-07-21 19:22:31.489471,19,3.22,0.138,234.7,455.3,36,0,0
user_000,admin,laptop,Windows,2026-07-21 19:22:31.489488,19,3.33,0.102,304.0,640.6,29,1,0
user_000,admin,desktop,Android,2026-07-21 19:22:31.489506,19,2.06,0.139,290.0,836.9,29,0,0
user_000,admin,mobile,Linux,2026-07-21 19:22:31.489523,19,3.2,0.145,217.7,612.5,42,1,0
user_000,admin,mobile,Windows,2026-07-21 19:22:31.489540,19,3.92,0.139,349.5,797.2,34,1,0
user_000,admin,desktop,Android,2026-07-21 19:22:31.489557,19,16.78,0.009,0.0,18.9,240,0,1
user_000,admin,mobile,Android,2026-07-21 19:22:31.489575,19,2.33,0.081,284.7,419.2,20,0,0
user_000,admin,mobile,Linux,2026-07-21 19:22:31.489592,19,2.01,0.137,341.4,774.1,22,0,0
user_000,admin,laptop,Linux,2026-07-21 19:22:31.489612,19,3.21,0.145,330.2,810.0,26,1,0
user_000,admin,mobile,Linux,2026-07-21 19:22:31.489630,19,2.9,0.087,274.2,699.6,43,0,0
user_000,admin,laptop,Android,2026-07-21 19:22:31.489647,19,3.18,0.099,312.2,371.8,22,0,0
user_000,admin,desktop,Android,2026-07-21 19:22:31.489663,19,18.57,0.016,0.0,17.1,289,0,1
user_000,admin,laptop,iOS,2026-07-21 19:22:31.489679,19,2.51,0.083,342.1,563.6,29,0,0
user_000,admin,mobile,Android,2026-07-21 19:22:31.489696,19,16.01,0.018,0.0,26.9,251,1,1
user_000,admin,laptop,Android,2026-07-21 19:22:31.489711,19,3.39,0.09,320.9,753.3,34,0,0
user_000,admin,mobile,iOS,2026-07-21 19:22:31.489728,19,2.46,0.085,258.0,828.3,41,0,0
user_001,student,mobile,Linux,2026-07-21 19:22:31.489757,19,3.25,0.101,221.1,411.9,31,1,0
user_001,student,laptop,iOS,2026-07-21 19:22:31.489776,19,3.79,0.118,361.5,490.8,44,1,0
user_001,student,desktop,Windows,2026-07-21 19:22:31.489795,19,2.22,0.096,285.4,511.5,39,0,0
user_001,student,desktop,Android,2026-07-21 19:22:31.489813,19,2.61,0.092,306.8,715.5,24,1,0
user_001,student,laptop,Linux,2026-07-21 19:22:31.489830,19,6.08,0.047,650.5,142.3,91,1,1
user_001,student,desktop,Android,2026-07-21 19:22:31.489848,19,13.52,0.017,1485.9,34.8,171,0,1
user_001,student,mobile,Android,2026-07-21 19:22:31.489865,19,3.39,0.13,229.6,322.1,43,0,0
user_001,student,mobile,Windows,2026-07-21 19:22:31.489882,19,7.44,0.055,615.4,121.4,96,1,1
user_001,student,mobile,Android,2026-07-21 19:22:31.489900,19,3.27,0.128,306.2,445.2,25,1,0
user_001,student,mobile,Windows,2026-07-21 19:22:31.489960,19,18.36,0.016,0.0,31.8,216,0,1
user_001,student,mobile,Linux,2026-07-21 19:22:31.489979,19,2.74,0.124,326.7,789.9,30,0,0
user_001,student,desktop,Linux,2026-07-21 19:22:31.489997,19,3.6,0.091,301.6,324.5,35,1,0
user_001,student,desktop,iOS,2026-07-21 19:22:31.490020,19,3.18,0.127,203.3,785.7,22,0,0
user_001,student,desktop,Linux,2026-07-21 19:22:31.490039,19,2.7,0.087,388.1,532.0,27,1,0
user_001,student,desktop,Android,2026-07-21 19:22:31.490056,19,3.87,0.09,268.2,425.4,44,1,0
user_001,student,laptop,Windows,2026-07-21 19:22:31.490073,19,3.08,0.129,245.7,790.3,35,0,0
user_001,student,laptop,Windows,2026-07-21 19:22:31.490093,19,17.78,0.013,0.0,39.9,201,0,1
user_001,student,mobile,Windows,2026-07-21 19:22:31.490109,19,3.93,0.119,376.5,503.4,42,0,0
user_001,student,mobile,Android,2026-07-21 19:22:31.490125,19,16.75,0.016,0.0,35.7,202,0,1
user_001,student,laptop,iOS,2026-07-21 19:22:31.490141,19,2.81,0.142,370.2,397.0,36,0,0
user_001,student,desktop,iOS,2026-07-21 19:22:31.490196,19,3.8,0.122,201.8,698.1,44,0,0
user_001,student,laptop,Linux,2026-07-21 19:22:31.490217,19,2.01,0.091,309.7,569.1,41,0,0
user_001,student,laptop,Android,2026-07-21 19:22:31.490240,19,14.97,0.014,1009.0,39.5,133,1,1
user_001,student,desktop,Windows,2026-07-21 19:22:31.490259,19,3.49,0.125,369.8,484.8,36,0,0
user_001,student,desktop,Android,2026-07-21 19:22:31.490276,19,12.71,0.02,1318.2,34.6,141,0,1
user_002,student,desktop,iOS,2026-07-21 19:22:31.490296,19,8.89,0.052,867.6,132.1,86,0,1
user_002,student,laptop,iOS,2026-07-21 19:22:31.490313,19,2.7,0.125,333.8,417.1,20,0,0
user_002,student,mobile,iOS,2026-07-21 19:22:31.490330,19,3.44,0.1,204.9,326.2,36,0,0
user_002,student,desktop,Windows,2026-07-21 19:22:31.490348,19,14.97,0.019,1139.8,42.2,125,0,1
user_002,student,mobile,Linux,2026-07-21 19:22:31.490365,19,2.03,0.145,285.6,643.4,40,1,0
user_002,student,mobile,iOS,2026-07-21 19:22:31.490381,19,3.96,0.085,261.1,461.1,42,0,0
user_002,student,mobile,iOS,2026-07-21 19:22:31.490398,19,6.94,0.051,718.4,163.5,113,1,1
user_002,student,laptop,Android,2026-07-21 19:22:31.490419,19,3.14,0.087,323.0,515.2,41,1,0
user_002,student,desktop,iOS,2026-07-21 19:22:31.490437,19,2.51,0.101,264.5,718.2,27,0,0
user_002,student,mobile,Windows,2026-07-21 19:22:31.490454,19,7.81,0.051,688.1,130.4,114,0,1
user_002,student,mobile,Windows,2026-07-21 19:22:31.490471,19,2.51,0.123,216.3,600.9,26,1,0
user_002,student,desktop,Linux,2026-07-21 19:22:31.490488,19,3.6,0.125,340.4,330.5,35,0,0
user_002,student,mobile,Linux,2026-07-21 19:22:31.490505,19,3.77,0.082,315.8,703.2,42,0,0
user_002,student,desktop,Linux,2026-07-21 19:22:31.490522,19,2.66,0.091,396.4,654.5,41,1,0
user_002,student,desktop,Linux,2026-07-21 19:22:31.490538,19,5.12,0.041,846.8,144.4,113,0,1
user_002,student,laptop,Android,2026-07-21 19:22:31.490556,19,2.65,0.138,254.3,673.7,31,1,0
user_002,student,desktop,Android,2026-07-21 19:22:31.490573,19,15.43,0.006,0.0,26.2,293,0,1
